extension_id	version	permission_score	combination_score	overprivilege_score	label
aflbgpajmfkoblfcgeambdlohbeieppb	1.2.2	0.000000	0.200000	0	0.0
aflimahpkmnllgnninbfakkfcdfcjgoh	1.0.0	0.500000	0.500000	0	0.5
afmndkijjhdafhkmlihmofnadiakgfhh	1.0.0	0.750000	0.500000	0	0.5
afndhdcaepfpdeinhndpocijfcplajkk	1.0	0.000000	0.200000	0	0.0
afnlfhpdjbhmbijpnikaioijajmokklc	1.0.0	0.625000	0.500000	1	1.0
afodfmphlbddelhbfafnhkbmhmpkiljn	1.0	0.833333	0.500000	1	1.0
afomfngknkjlhekibenoppibicpjgpha	1.0	1.000000	0.200000	0	0.5
afplmjnnfklilgpooepodcdhgahdkcpd	1.0	0.000000	0.200000	0	0.0
agaakcpbbejcmllnjfopojoeenbagden	1.0.3	0.916667	0.500000	0	0.5
agbkdpghihaobfldkoagkdcbblbajaff	0.2	0.625000	0.500000	1	1.0
agcgngkppacineoebbkladiglkndpbaf	1.5	0.000000	0.200000	0	0.0
agdcgngeemnjhdoehonmnpoppdeloope	2	0.000000	0.200000	0	0.0
agfndkifenolenjbpnbpklgladhjkgga	0.1	0.500000	0.200000	1	1.0
aggemgbnhianeljdghbebfgnknnillki	2.4	1.000000	0.500000	0	0.5
aggjnakmfgojpkjbbpgdodakonmclkhl	0.1.7	1.000000	0.500000	0	0.5
aggpnhkgjjnkfiijohiailpeimacdbmk	0.0.1	0.000000	0.200000	0	0.0
agjappnhmfoffegbhnakelgilanmnibb	2.1.1	0.750000	0.500000	0	0.5
agjmlbigpjomhddmfclplopjjlflpmpk	2.4.9	0.666667	0.500000	1	1.0
agkepiakojhofhjfghkapcihpakcafln	0.0.1	0.000000	0.200000	0	0.0
agkilneihpoaffkpafngaccacnhmkfbk	1.4.0	0.562500	0.500000	1	1.0
aglbdkmndnefhjfkldnbjihdpjhnbhla	1.0	0.750000	0.500000	0	0.5
agnnndfmbcaamlpiflmednkelehjnlip	1.2	0.000000	0.200000	0	0.0
agpnpnjhjblfjpmhbgchofhgdpclfani	1.4	0.000000	0.200000	0	0.0
agpoipkfbifkdhdghbjilapmbgdedomn	1.2	1.000000	0.500000	1	1.0
ahbdpmnonfephpdeeijemkkollhkgafk	1.0	0.666667	0.500000	0	0.5
ahbhjdenlbcnilhnhlbmffjeilgfekmd	1.0	1.000000	0.200000	0	0.5
ahboelaniihmcmhhbpegkjnemoloeifg	0.1.0	0.833333	0.500000	1	1.0
ahececfmpokpefkinagkbilamibaolkk	0.0.1.2	0.750000	0.500000	0	0.5
ahecikafckglofplimfifbelljogmmbb	1.0	0.650000	0.500000	1	1.0
ahegcpgbmngfcccaliclhpibfceljgfk	1.0.3	0.750000	0.500000	1	1.0
ahgdolfoafpejndlhnmojpkneiglfbea	1.0.2	0.000000	0.200000	0	0.0
ahgkkolbomlbkbeapmphddlhhimmefci	1.2	0.000000	0.200000	0	0.0
ahheiahlanglpmhgeimolipfdkcpgdfp	1.0	0.666667	0.500000	1	1.0
ahhlohmpnoijnmmmhbfhcikhamlmddge	1.0	0.000000	0.200000	0	0.0
ahihijinegnbdjmfogdhcmagdeaeaohm	1.1	0.000000	0.200000	0	0.0
ahjpkkffpemcpnlckblaiglghmbpbbog	1.0	0.500000	0.200000	1	1.0
ahkgihgicgckkmfbdecbbobgdbhcgcjp	0.0.1	0.750000	0.500000	0	0.5
ahknikhbgogboplghibpljffkpoalmnn	1.3	0.750000	0.500000	1	1.0
ahmjeglifjccgafkgbdpablaadafjfnh	1.0.0	0.000000	0.200000	0	0.0
ahndebjbcofafbolbmhollppmdbcnmnb	0.1	0.750000	0.500000	1	1.0
ahpeipcnhichcfjldjcikodkofjpoocd	0.2	0.750000	0.500000	1	1.0
aiaabciompikkgchoocgmhgbgbgopmaj	1.4.3	0.750000	0.500000	1	1.0
aiakipljpbholebfnoicaipdmagmmgbn	1.1	0.750000	0.500000	0	0.5
aicbhcfpplooimhbhckkhcajpmmllddf	2.1.0	0.666667	0.500000	0	0.5
aicjmiknfgopnekdipcmadglomcjnnoe	1.0.2	0.850000	0.500000	1	1.0
aiclakakddgicleahdjdoebaomldhiga	0.3.1	0.750000	0.500000	0	0.5
aidbnddnbmnfnhniclancmehgbogjdln	0.0.1	0.000000	0.200000	0	0.0
aieildjmegmpjinhldcikfpdbocolbkl	1.2.0	0.000000	0.200000	0	0.0
aigdkhcdmkaehfcnhabhkfpomkcflpcm	1.1	0.000000	0.200000	0	0.0
aigpdjcfnhifikdlpedfhhjjcihldnon	4.0	0.812500	0.500000	1	1.0
aihenpjigmbdkocojpgodnjmglgkacbc	1.0.0	0.000000	0.200000	0	0.0
aiipihanfbemhegopmlekpccbeojgfgk	1.0	0.875000	0.500000	0	0.5
aijeknoplelhnddbilkdfbpefojclomf	1.0	0.625000	0.500000	1	1.0
ainbmemdlgioffdbkeiojjgcjpflodnl	1.0.0	0.000000	0.200000	0	0.0
aiofdhjednbbfajbcpmgbblpljncfnkh	0.1	0.750000	0.500000	1	1.0
aiogpkbcmpaleemjiaafhnglaekibila	1.1	0.000000	0.200000	0	0.0
aiolaeieplfdiabglncjmklioeoahgih	1.0.0	0.000000	0.200000	0	0.0
ajaabobhamonhfiklekajlcopecbgbfm	1.0.9	0.000000	0.200000	0	0.0
ajaklmopoccgidielepheckckfifeacp	1.0.2	0.750000	0.500000	0	0.5
ajdpibbbalebejiekghideajpfhkgkan	1.0	0.500000	0.500000	1	1.0
ajebknfcnpcneocdjjcafngnhalkbiog	1.3	0.000000	0.200000	0	0.0
ajedpeapebihhbegbbeealaodcffcccj	1.2	1.000000	0.200000	0	0.5
ajepclfoabnakpmkokgacianbcaiphme	1.0	1.000000	0.500000	1	1.0
ajhikdoihlpadokailkcilandildhhon	1.0	0.250000	0.200000	1	0.5
ajiapeaepccdmdpgpaijlpdjblafbenp	1.0	0.750000	0.500000	0	0.5
ajicgjkmkmpcockngophjpgjopegcbnp	1.8.2	1.000000	0.200000	0	0.5
ajkceicbffpjdknkanfahdmopgkeenco	0.0.3	0.750000	0.500000	0	0.5
ajkjkdodgphjikjabkpioclobfodanmc	1.0	0.750000	0.500000	0	0.5
ajlckcimpdbfodebaggoomihdalbekbb	1.0.1	0.750000	0.500000	0	0.5
ajmkaajijdmecpehfebohpbeekalkmeg	1.0	0.950000	0.423744	0	0.5
ajmkldlbkpbhbnblgfadgebkaoadnfld	1.0.4	0.785714	0.500000	1	1.0
ajninacgnlfbplbiipdcllggngmbfjnb	1.2.0	0.000000	0.200000	0	0.0
ajopnjidmegmdimjlfnijceegpefgped	7.5.18	0.000000	0.200000	0	0.0
ajpelgpbpnmabmblmkhibhebddjebpga	2.3	0.583333	0.500000	0	0.5
ajpicmkmmgfpilflclfhdaglbeahpjon	3.3.4	0.800000	0.500000	0	0.5
akaigafgjdpnhemnpmikckbcjmcfpmha	0.0.1	0.833333	0.500000	0	0.5
akddbanippibhcioicdgehcgjpgijnjb	0.0.1	0.000000	0.200000	0	0.0
akeaapiinackllednembijknjmjcefpg	1.0.2	0.750000	0.500000	0	0.5
akfebjdmmkimolepakjnpflhhkdedbcd	1.0	0.700000	0.500000	1	1.0
akfgadkfcgljkdnmpbaidjpmpiangjbj	1.12	0.833333	0.500000	1	1.0
akfjejocicidcfkkbpcbinmhhdccmdap	1.0.1	0.000000	0.200000	0	0.0
akjadnancjpkjekagaiffngpmgccdeol	2.4.1	1.000000	0.500000	0	0.5
akjjpnamhhbfbijgldonoibnhnbdcpmn	2.1	0.500000	0.200000	1	1.0
akkebbhjajalpiekmfkmifhiilfipjmh	1.1.2	1.000000	0.200000	0	0.5
aknailicmklaenknpmfgddnihecfkaen	1.2.1	0.750000	0.200000	1	1.0
aknfjjehgnmnoeokpbahmapopmkfgfki	3.0.1	0.750000	0.500000	0	0.5
akngjlcdebllhcchbpglbhpgllkgmjlf	1.0	0.625000	0.500000	1	1.0
aknkikkncjfghdgohjfgffahlnfbhmoj	1.0	1.000000	0.500000	1	1.0
aladhkoljclnbmhahcpmhldmkpkapfao	1.0	0.625000	0.500000	1	1.0
albhppepmjfgpnapebffflkchffbdomp	1.5	0.000000	0.200000	0	0.0
albiloibapmkhcgelepghnfpkliehafn	0.0.0.1	1.000000	0.500000	0	0.5
alemofgjnihkjipebannfbnaimkhgfeg	1.0	0.750000	0.500000	0	0.5
aleoomnjpdmhfmfipecgcfdjihebpkpo	1.0.0	0.750000	0.500000	1	1.0
algeifnjemchfdejahaabcgocpflolke	1.0.1	0.625000	0.500000	1	1.0
alhoppdlmngihhmcbckfgjngoamehogd	1.0.1	0.666667	0.500000	0	0.5
alifkdhhedlefgpmnmkbopcmacibedon	1.0	0.000000	0.200000	0	0.0
allmgdodlnhpefmikfbfjokpclkmlpkk	1.0.0	0.875000	0.500000	0	0.5
almpbecikeekpfbeeejcdehmpodpalpc	1.0.4	0.875000	0.500000	0	0.5
alondiccabompeionhhekfghcckkikfc	1.3.3	1.000000	0.200000	0	0.5
alpbdocjibbcmecmnlkobeefiehdhkpo	0.0.1	0.000000	0.200000	0	0.0
ambmnbemkjfccmdnkehamiiphkcnolin	1.0	1.000000	0.500000	0	0.5
ameigjbbhdhhfhnmembihpcdceibacmj	0.0.1	0.650000	0.200000	1	1.0
amfblgikhenbcojadbmjpmmogjdjfcfb	1.0	0.000000	0.200000	0	0.0
amhflnlbckplcgdpcihakdcoekbokdgj	1.1.3	0.000000	0.200000	0	0.0
amhnglphepkpmjhlfcpmohkjbaidlpko	1.2	0.750000	0.500000	1	1.0
amhnigdjadnacmhojekdnijbehpdngff	1.0.5	0.000000	0.200000	0	0.0
amifogigllnaheopoaepffkcdbkojoka	0.0.1	0.000000	0.200000	0	0.0
amilombngijdmbjdlkbjaldblpbodifd	1.0.1	0.625000	0.500000	1	1.0
amkmdplpmnojjnfloeaoljgmjnppdiak	0.1.1	0.666667	0.200000	1	1.0
amkndmbbgjmbcljbaloojcmaflffkgah	1.1	0.000000	0.200000	0	0.0
amkphblmhbcabajmbhpkhkbnfhieeklp	2.4.9	1.000000	0.200000	0	0.5
amleaihlkllljghbibpchilboidikdka	0.0.2	1.000000	0.500000	1	1.0
ammoahhhpcccnfmcbdibjkmmfdmnabfl	1.0.0	1.000000	0.200000	0	0.5
amockndkioofkkfppjdidemmdpamgkge	1.3.2	1.000000	0.200000	0	0.5
amohljmlgkapaaplajmicnbegfheolae	0.1.0	0.625000	0.500000	0	0.5
anabaalhdmohmalggpldieplajkfciln	3.4.4	0.000000	0.200000	0	0.0
anbeheknilinnhalejpdnaobfhlokibb	1.0.0.4	0.805556	0.676699	1	1.0
anbnnecioahlmefkjobaoejoeikedchb	0.0.1	1.000000	0.500000	0	0.5
anbphdioblmckfjckolbphdpmjacnnal	3.0	0.875000	0.500000	1	1.0
ancjfmefdjfbmccnmdbflihkmehbjlic	1.0.0	0.625000	0.500000	1	1.0
anehijbikdmfdddcojcgaiieognihdgh	1.0.2	0.000000	0.200000	0	0.0
anflghppebdhjipndogapfagemgnlblh	4.1.0	0.750000	0.515000	1	1.0
anggcabhohbmdkljchhipnblcfpgddai	0.1.1	0.000000	0.200000	0	0.0
angineclpfgfaaggdhkeojohhnomdjmd	1.1	0.375000	0.200000	1	1.0
aniediolhfealofabedchhjooggkdimo	0.2.3	0.750000	0.500000	0	0.5
ankliclepckikmllgcfdcggbdgphclmh	1.3.2	1.000000	0.200000	0	0.5
anndempcfmcngdlkjjaaenfmikojffdp	2.4.5	1.000000	0.200000	0	0.5
anoaaghgdnebifpodpmoddnhimdblnfh	202.5	0.625000	0.500000	1	1.0
anomndcmkfcikiogiabbacfeompolpci	0.0.1	0.750000	0.500000	0	0.5
anpeogcpdefhoeafiapjlbgjpaegoaoo	1.21	0.000000	0.200000	0	0.0
aoadabfhakaheclcjciimnccfnolmmli	1.0	0.750000	0.500000	1	1.0
aodamcbjoakjlpalnabjklmdmdnjmape	1.0	0.750000	0.500000	1	1.0
aoejhhnjefoodboboghlpjkfnknkkngj	1.1	0.916667	0.500000	1	1.0
aofcmfpefjhpfnonnaembhmdfhpgighi	2.7	0.875000	0.500000	0	0.5
aofhlbjmmnccibomhipflapmjpegifpn	1.0.1	0.666667	0.500000	0	0.5
aofmjmdcfnepnbgnaibkklikdclgfndk	1.0	0.000000	0.200000	0	0.0
aofonafbnpebpgmjhhfmpcpfiofgjalp	1.2	1.000000	0.500000	0	0.5
aoilmfpgjfpbiapbigpoikcojdapfmed	1.3.1	0.750000	0.500000	0	0.5
aojfpijlbennneohhbcbjjhplpngjkcc	1.3	0.750000	0.500000	0	0.5
aokfjofcdfchkampnjebpajjmchokaii	1.5	0.000000	0.200000	0	0.0
aokgnafjkofmecapeimdfcacpjefamnh	1.0.0	0.000000	0.200000	0	0.0
aomfbgcabccoecaoimicmmkjdmdgcfpi	1.3.0	0.562500	0.500000	1	1.0
aoogfbnigmjindidkbijnkccpdloijfg	1.0.1	0.000000	0.200000	0	0.0
aopfklhkhiioccljplclhejpbicaebin	1.0	0.000000	0.200000	0	0.0
apaielgpepjpopbbcecaoeeemmhmiaal	1.0.0	0.750000	0.500000	1	1.0
apbaofnnehabgflbifaabfacadnbfiph	1.0	0.000000	0.200000	0	0.0
apblccbjbbmhdlhngbbbhfhdneeogpgn	0.0.2	0.000000	0.200000	0	0.0
apebhplgeobjibklnjlmjmdhfolminmh	1.0	0.625000	0.500000	1	1.0
apfcaoapdefikjndgggeljelppppfckj	0.0.1	0.000000	0.200000	0	0.0
aphngkgkfbnblnchemdfgfohgeiijnba	0.0.1	0.875000	0.500000	0	0.5
apiijoocgjdnpmpicfnbgdnlgaombhbp	0.0.0.2	0.000000	0.200000	0	0.0
apkbghlnpkjclappnjbokbmdcoklcbmj	1.3	0.833333	0.200000	0	0.5
aplegllapakbapncbaepacelkioigmle	0.2016.1	0.000000	0.200000	0	0.0
aplgaiiajdiaaidijjpemmfjcfibcfmi	0.1	0.000000	0.200000	0	0.0
apmklacjfbojgfgooclplhabkhaaohab	1.0	0.875000	0.500000	1	1.0
apmnkdbgfnabcngmkaajlmbmefgklmmh	1.0	0.800000	0.500000	1	1.0
apobnccldjdikfkicadljfpoppamdaej	1.0.12.3456	0.000000	0.200000	0	0.0
apppfekpbdhebfoifbbbkpllcdlehddh	1.3.0	0.916667	0.500000	0	0.5
bacfkokhehaifjoobhhdjcepalipghdo	1.0.0	1.000000	0.500000	0	0.5
bacfmfmadpemocgcjoflekakdebfkmmb	1.1.11	0.722222	0.500000	1	1.0
bacmnpkchcoogefhmlaplhjibdncdncj	1.0.0.3	0.812500	0.429987	0	0.5
baddaaammpocjgkipckjghamjehihjol	1.1	1.000000	0.500000	1	1.0
baddfoombmcecpogcggjccpbmennnjld	1.0	0.500000	0.200000	1	1.0
bafbbfjfdhcbofchihbmpnolhdinbpbd	1.0.0	0.000000	0.200000	0	0.0
bafdolhkidkdhgfbcfkmggojbipofdpb	1.0	1.000000	0.200000	0	0.5
bagaaifhoacemdjlgligfnmnfgenffcf	1.1	0.750000	0.500000	0	0.5
bahfghapfgmcjalodnhnoldomekolhck	0.5	0.000000	0.200000	0	0.0
bahkpblcfiffamfljnfjeablplgnjnkg	1.0	0.000000	0.200000	0	0.0
bahojkgobhhokmiljiclfpfkkjghodij	1.3.1	0.000000	0.200000	0	0.0
baklojffigiljcdcocnflfennkfkpcjm	0.1	0.000000	0.200000	0	0.0
baldgbajolfcolcdidbalkhohaohlmgg	1.0.0	0.000000	0.200000	0	0.0
balkfdkhbcjjmhndnblgmlmcabnapogp	5.3	0.625000	0.500000	1	1.0
bangpndjaghnmhaofkaffopkpabncdpa	1.0.0	0.666667	0.500000	1	1.0
banmkeeeafmpojeljofffpinphicnopo	1.0.0	0.000000	0.200000	0	0.0
bapgbdjpdegpfhfahdonpfedikjikkib	0.0.1	1.000000	0.200000	0	0.5
baphnigfcfaecagjeipklfgfmefjpdgd	2.0	0.500000	0.500000	0	0.5
bbaofmpcknfcngceioplaifploinfcjd	1.0	0.750000	0.500000	1	1.0
bbapflbbfdkgdkbkilcepilodiimnjkg	1.0	0.000000	0.200000	0	0.0
bbbhdamnanhhemkdonhhgngghdfjhbjp	0.1	0.666667	0.500000	1	1.0
bbeipknhdmkklpjceifjnadphbndoikf	0.0.0.1	1.000000	0.200000	0	0.5
bbfemffmmbckegfepbiaindepciecaag	1.0.0.1	0.850000	0.500000	1	1.0
bbfggofimmjcgmlelkjnkmcooehpckla	1.1	0.500000	0.200000	0	0.5
bbfnidnhpngjjbmmlakaogggmdnnjbnm	0.3.4	0.694444	0.423744	1	1.0
bbglapkldkphhmgogcpoakmikpkbonei	1.1.0	1.000000	0.200000	0	0.5
bbhfkncckckbhkcekinoaohffekkceoh	1.1	0.000000	0.200000	0	0.0
bbiclnbaepmfhgballolipjldipbpkie	0.0.1	0.000000	0.200000	0	0.0
bbifkjoeknbpmonihclkcfbbnehjeehe	2.5	0.500000	0.200000	1	1.0
bbinlgbbkcidnoehgdnohcokjnblfcnc	25.1	0.833333	0.500000	0	0.5
bbljphibindaejfffdmafbcfihcekiao	0.0.7	1.000000	0.500000	0	0.5
bbnmdmobbcohpdljopaclghaeejifflk	1.0.0	0.000000	0.200000	0	0.0
bbnnnngoeagbndpgkkcmnmjfbcclkeno	1.0.0	0.000000	0.200000	0	0.0
bbpmcoagdfakafdjnmegfdnnhompcpfp	0.0.0.17	0.937500	0.500000	1	1.0
bcannoocpggflfonhdhppljoagoabiia	1.1.1	0.000000	0.200000	0	0.0
bcbglkfldjeeheenpflcdcfmphnnnmpe	1.0.2	0.000000	0.200000	0	0.0
bccobdeigmdknfigjdllmmmllnojkafi	1.0	0.000000	0.200000	0	0.0
bcdcibldkolakecjalgfmnmceiakfilp	4.9.1.2	0.821429	0.500000	1	1.0
bceankfgkjkleonnlbkjhdnfcjgkmmcd	1.1	0.625000	0.500000	0	0.5
bcgbhelkggkmbomahpojlglnhgmoibne	1.0.0	0.750000	0.500000	0	0.5
bcgmpankckajlaahcocnggeimgmchkkl	0.0.1	0.000000	0.200000	0	0.0
bcheimigpcgfidifpmbhbggddlndnlmf	0.0.1	0.000000	0.200000	0	0.0
bchkhkojefochglgmgdmailhdjmpledh	1.0	0.850000	0.500000	1	1.0
bchmedheegadfhbkmndiefhcocjhfmfm	1	0.750000	0.200000	0	0.5
bcibaoakjcmdkbmpokmheinhkackhiba	1.0	0.000000	0.200000	0	0.0
bcjajcegadigciolnjlffhncnkkocboe	1.0	0.750000	0.500000	1	1.0
bcjbhmjnnohgpbganhlkiepnccmcjjel	1.0.2	1.000000	0.500000	0	0.5
bcjcpbmgbacibhohjiabhicnohgmnpfo	0.0.0.1	0.500000	0.200000	1	1.0
bcjgfdfoicbioodilbffeddpbhjmmjdi	1.0	1.000000	0.500000	0	0.5
bckdimopeflfgfpckcgnlgbbilocdcng	1.0.0	0.000000	0.200000	0	0.0
bclaobkimojohepdhnibnjfjeplggkko	0.1.6	1.000000	0.500000	0	0.5
bcnjnlbfaffcnhinmofbbffeoeiobejd	1.0.0	0.850000	0.500000	0	0.5
bdaenihblplbjfhopmkigjjmnioogokf	0.0.3	0.750000	0.200000	0	0.5
bdajkpfapgknmmmbngegnjcnfheenacf	1.0	0.000000	0.200000	0	0.0
bdbgahnlbdodjkejgilbpflbhgchdfni	2.3.1	0.694444	0.500000	1	1.0
bdchnbdpaljaekkoijpldgfagilekifk	1.1	0.750000	0.500000	0	0.5
bdcigbfhcnlmfccnopomgpknkgpmhakk	0.0.2	0.000000	0.200000	0	0.0
bddeffoapmfkdpbdhimnmgdkendkcbci	1.0	0.750000	0.500000	0	0.5
bdhhjckgdiikfccabejeifncepaoaacj	1.3	0.000000	0.200000	0	0.0
bdhidfckofgbdjemnipnbmapbheaplho	0.0.1	1.000000	0.500000	0	0.5
bdimojlkombjcnnfiadfcflcnamaiemj	1.0	0.500000	0.200000	1	1.0
bdinecehiblkdalakejbkhgjbifgcgoa	1.3	0.850000	0.500000	1	1.0
bdiomfecjcamabgblcklibojgacakoac	3.0.1	0.000000	0.200000	0	0.0
bdlopkpciodbjjfiakfhbfhmgkacilna	1.0	0.000000	0.200000	0	0.0
bdmdbklehpcipegkcbmlfgljpionhkab	2.0	0.750000	0.200000	1	1.0
bdnhhddfbipeeededjddonienjegdhbh	1.0.1	0.750000	0.500000	1	1.0
bdpbgfaoocdjolgbgjmpphgolanldnfo	1.0	0.750000	0.500000	0	0.5
bdpnmhgagbdjklpddmonlbjdnadhafbc	0.1.0	0.000000	0.200000	0	0.0
beabgbjleckdhifhckdekgjkhnkinnjf	0.1.3	1.000000	0.500000	0	0.5
bebneahlknpobbjallgejgjniknoilep	7.76	0.875000	0.500000	1	1.0
bedfmcmemjjcpbfenikfolpmhlojhpoc	1.2	1.000000	0.500000	0	0.5
bednjkkefpjkihmnhjokihjjcodjkdfm	1.2.3	1.000000	0.200000	0	0.5
beemklnnmghlfcllnaieajkallkfdocb	1.0	0.916667	0.500000	1	1.0
beggaogmhdbhbjghlbbnccjmdcljipik	1.0.0	0.800000	0.500000	1	1.0
begpdplcdifkdpcdiainfeoodfianbmf	1.0.1	0.750000	0.500000	1	1.0
behipodffaejennlogajageolobohgoh	1.0.0	1.000000	0.500000	0	0.5
bejhfkohklklpkeglihbdfojfolfngni	1.2	1.000000	0.500000	0	0.5
bekepcadgolbgofjhfndafnkjdagkdpf	0.1	1.000000	0.200000	0	0.5
